Pos_neg_diff,Reviewer_Score
-386,2.9
105,7.5
-21,7.1
-184,3.8
-132,6.7
3,6.7
-15,4.6
8,10
-34,6.5
35,7.9
96,10
-71,5.8
-22,4.6
59,9.2
-20,8.8
82,10
-24,6.3
5,7.5
33,7.1
-25,7.5
-23,6.3
-17,3.8
-327,5.4
29,9.6
127,9.6
-14,8.3
83,9.6
-25,8.3
-31,8.3
25,9.2
21,9.2
-45,7.1
-68,4.2
36,6.7
6,7.9
29,8.3
-7,7.1
27,8.8
93,8.8
-107,6.3
-22,7.5
-89,6.7
-95,2.9
8,9.6
-15,3.3
-23,7.9
-312,4.2
-9,8.3
77,10
-49,5.4
10,9.6
-99,7.1
60,10
49,10
-11,7.9
76,10
-47,7.1
4,7.9
-13,7.9
84,9.6
-139,4.6
-2,7.1
7,8.3
-26,6.3
9,9.2
-31,8.8
-12,9.2
62,7.5
-19,7.9
1,8.8
-29,6.7
-5,7.1
-14,7.1
-25,6.3
-138,7.1
56,10
-10,7.1
-10,7.5
68,9.2
34,9.2
-19,5.4
47,10
-46,5.8
-34,9.2
-20,7.9
33,10
-35,7.5
-56,5.8
0,5.8
-11,7.5
-115,4.2
-21,7.1
-37,5
-183,4.2
-27,6.7
70,9.6
38,10
-2,8.8
-112,5
-31,6.3
-38,5
-28,4.6
-56,8.8
-12,9.2
3,7.9
14,10
-7,7.1
-46,3.8
11,9.6
-6,8.8
-9,7.9
69,6.3
115,10
34,9.6
78,8.8
-52,7.1
-34,9.2
49,8.8
-68,7.9
-6,7.5
-39,4.6
-39,8.3
-9,4.2
14,7.5
-120,4.6
7,7.5
-40,5.8
-18,9.2
11,8.8
-31,7.9
3,7.9
-9,8.3
-75,7.1
-18,10
-180,4.6
29,9.6
-7,10
-17,9.2
-3,6.3
0,6.7
40,10
24,10
8,8.3
-17,5.4
-19,8.8
-17,9.6
-195,2.5
-14,5.4
3,7.9
71,9.2
-5,6.3
-64,8.8
-1,7.5
6,9.6
33,6.7
-22,5.8
-63,7.5
-51,5
-18,8.8
-39,4.2
30,8.8
-23,6.7
-43,5
36,9.2
-24,7.9
46,9.2
-6,7.9
-25,7.1
35,10
-36,2.9
-1,9.2
-31,7.1
-81,3.8
-51,9.6
66,10
-31,6.7
20,8.8
-3,10
78,10
-28,7.9
-45,7.9
-61,7.1
-115,4.6
18,8.3
26,9.2
-53,6.7
16,9.6
-172,4.2
-52,9.2
-83,3.1
-99,5.8
-64,6
20,9.2
-22,8.3
-32,7.1
-15,8.8
-75,4.6
3,9.2
37,9.2
-86,6.7
47,9.2
-12,10
-55,5.8
-37,6.3
37,10
-130,6.7
-55,6.3
67,9.2
-38,7.9
-82,4.6
6,9.2
31,10
-24,5.8
13,8.3
-21,7.1
35,10
-36,9.2
2,6.3
-6,9.6
-42,7.9
67,9.6
-35,9.2
45,9.6
52,9.6
24,10
35,9.6
133,8.8
-33,7.5
74,9.2
132,10
22,9.6
20,9.6
-53,7.1
-26,5.8
29,10
8,8.3
43,10
14,7.5
-33,6.7
-26,9.2
-20,8.3
27,9.6
33,9.6
7,8.8
-26,6.7
18,9.6
-4,7.5
-11,7.5
-6,9.6
-2,7.5
18,5.8
23,9.6
-1,9.2
7,10
10,6.3
24,10
-3,7.9
0,9.2
2,6.3
-14,7.9
-4,5.5
-3,7.5
-8,6.3
9,7.9
-6,6.7
4,10
-7,2.5
-8,9.2
0,10
12,10
2,8.3
25,9.6
-1,8.8
13,9.6
20,9.2
15,9.6
15,10
16,3.3
6,10
2,7.5
-24,8.3
17,10
20,9.2
8,10
2,9.6
4,9.2
3,10
-6,9.6
0,10
4,7.9
5,8.8
2,7.5
-6,9.2
7,10
3,5
-3,6.3
-1,5.4
6,8.8
-5,8.8
-12,4.6
1,10
-5,7.5
-4,8.3
8,9.6
-2,7.1
19,10
0,10
-17,6.7
4,9.6
-9,6.3
22,10
4,7.9
2,6.7
11,10
-8,9.2
14,10
-3,7.5
-3,7.9
27,8.8
2,3.8
16,10
20,8.8
-7,2.5
-3,7.1
-5,4.2
8,7.5
-4,3.8
-1,9.6
-1,7.1
-9,7.1
-7,3.3
-9,7.1
7,9.6
-4,9.6
2,5.4
1,6.3
-3,9.6
10,2.9
19,8.8
13,10
-4,7.5
3,7.9
-4,5.5
6,8.8
9,8.8
3,9.2
-13,6.3
4,10
11,10
-1,8.8
-9,5.4
-12,5.8
0,10
21,10
13,9.6
23,6.3
16,10
-14,5.4
9,9.2
9,10
13,10
4,9.6
-4,4.6
10,5.4
-2,5
1,7.5
20,7.5
-8,7.5
-4,6.7
-6,7.5
11,9.2
18,7.5
23,10
11,10
16,9.2
6,8.3
-14,5.4
-5,9.6
23,10
-6,4.6
12,9.6
4,8.3
9,9.2
-4,8.8
-1,8.8
10,9.6
1,5.4
9,8.8
-6,3.8
-4,7.1
8,9.6
-2,8.8
23,10
-7,7.5
11,9.6
1,7.9
4,9.2
2,8.3
-3,8.8
2,10
5,8.8
-2,10
12,8.8
10,9.2
15,9.2
9,9.6
-52,7.1
16,9.2
62,9.6
44,8.3
44,9.2
26,9.6
-71,5.8
-15,6.7
7,8.3
-58,7.1
-24,5
78,9.6
-17,7.1
65,9.6
-92,7.1
-4,9.2
-34,7.9
54,10
27,10
13,6.3
-64,6.7
16,8.3
18,7.9
33,10
-1,10
-38,8.3
9,7.1
24,8.8
100,9.6
21,7.9
-20,8.3
8,7.9
29,9.6
12,8.8
107,9.6
31,9.2
-20,9.2
-7,9.2
-31,10
-1,9.2
-72,5.8
-66,6.7
56,9.6
7,7.9
26,10
-7,10
-40,7.9
77,9.6
53,10
74,10
-22,8.3
28,8.8
4,6.7
29,10
-68,5.4
25,10
-5,8.3
-16,8.8
84,10
-9,8.3
-5,7.9
-20,7.5
-26,5.8
-10,9.2
2,7.5
15,9.6
-185,5.4
-19,5
-44,6.3
-33,6.3
-3,7.5
-89,9.2
-11,9.2
-37,6.3
-7,7.1
-28,7.1
4,9.2
-56,6.3
8,8.3
24,9.2
136,10
-70,4.6
55,8.3
-3,7.5
8,7.1
-4,9.2
-34,9.6
53,10
74,10
-7,10
-32,8.8
-36,6.3
38,10
-37,8.8
-20,7.9
19,7.9
89,10
15,8.3
5,9.6
49,9.5
82,10
41,10
22,10
-43,4.2
7,9.2
19,10
18,8.8
-13,8.3
14,9.6
-84,7.5
46,10
13,7.1
24,9.6
53,9.6
-20,4.2
-32,6
31,9.6
6,9.2
-43,7.5
-78,6.7
-32,8.3
3,10
23,10
-2,5.4
49,10
12,9.6
27,9.2
-38,5.8
8,8.3
30,9.2
-54,6.7
-22,9.2
-62,7.1
19,8.3
78,10
-8,8.3
4,10
37,10
-370,5.4
-9,9.2
8,7.9
-42,7.5
24,9.6
29,10
-7,8.3
52,10
24,9.2
6,9.6
52,10
-60,6.3
-7,8.8
-14,8.8
57,9.6
-2,6.7
36,9.6
12,8.8
89,10
-7,8.8
60,10
-2,5.8
53,10
-26,9.2
-29,9.2
22,9.5
-8,9.2
35,8.3
23,8.3
-32,9.6
20,10
39,10
52,10
47,5
36,10
-13,7.5
-4,7.1
-18,9.2
14,7.9
24,9.6
25,8.3
5,9.6
22,10
-22,7.9
-48,8.3
40,10
24,10
32,8.8
24,9.2
-31,6.7
10,10
-33,8.3
-1,8.3
-19,9.2
-35,3.3
25,9.6
-49,7.9
-21,9.6
5,9.2
31,10
-25,9.6
8,9.6
35,10
38,9.2
-37,5
-10,8.8
-17,6.3
5,10
94,10
-14,9.2
-31,5
-1,8.8
31,9.2
-26,7.1
5,8.8
-46,6.3
-26,5.4
-8,7.1
-59,7.9
-19,8.3
6,10
35,10
24,8.8
-22,9.2
-31,7.9
-18,7.1
11,8.3
5,8.3
23,10
26,10
24,9.6
30,10
-60,7.1
45,8.8
-16,9.2
-28,7.5
30,9.2
15,7.9
-11,9.6
-13,9.2
53,9.6
6,10
73,9.2
13,7.5
38,10
-51,5.8
19,8.3
7,7.1
-94,7.1
40,9.6
129,4.2
-116,4.2
-86,8.3
-11,8.3
-19,9.6
-11,8.8
-47,7.1
45,10
-45,8.3
61,9.6
3,7.5
-5,8.8
30,8.3
-7,8.3
-216,7.1
-26,7.9
-5,8.8
-7,8.8
28,8.3
-5,7.9
22,10
-28,10
-9,8.8
5,9.2
20,9.2
-11,6.3
-8,8.3
62,8.8
29,10
-81,5
-84,7.9
10,9.2
8,9.2
6,9.6
-6,7.1
11,7.9
-5,9.2
15,9.2
-2,9.2
-2,9.2
-3,8.3
12,9.6
19,10
-5,7.9
6,10
4,8.8
0,7.5
-14,5.8
7,8.3
-5,6.3
-7,7.5
-4,8.3
5,10
22,9.2
2,8.8
-17,6.7
-14,7.5
-1,10
2,9.6
2,10
8,7.9
-6,8.3
3,10
-15,5.4
8,10
8,10
3,9.6
-11,6.7
2,10
7,9.6
-7,7.1
-12,5.4
-14,7.1
30,10
7,9.6
-9,7.1
3,10
18,9.2
3,8.8
9,9.2
5,9.2
18,9.6
4,6.7
6,10
7,9.6
-1,7.5
8,7.9
6,9.6
-19,5.8
1,8.8
10,9.6
3,8.3
8,8.8
7,10
3,8.8
-11,7.9
-6,9.6
19,9.6
-5,10
-4,9.2
-13,10
5,9.6
-3,7.5
7,10
-1,6.7
-2,5.8
8,7.5
8,10
17,10
-24,10
3,7.9
10,7.5
2,8.8
20,8.8
4,10
-1,5
10,10
-2,8.8
11,10
-11,7.5
3,10
3,8.8
-2,8.3
19,10
9,9.6
16,9.6
4,3.8
10,10
-3,5.8
10,8.8
-1,8.3
-24,7.5
-1,5.8
10,10
-3,6.7
-12,9.2
-10,6.7
7,7.5
-2,10
5,10
10,7.9
-6,9.6
-10,8.3
8,10
-5,7.1
10,9.6
-1,9.2
14,9.6
4,10
7,9.6
10,9.2
9,10
-9,9.2
8,8.3
-1,9.2
24,8.8
-4,5.4
4,10
6,10
17,8.3
-7,5.4
13,9.2
11,10
-9,8.8
-2,7.5
0,8.8
11,10
4,10
5,9.2
10,10
-6,9.6
6,10
-5,8.8
2,7.5
1,9.6
-7,9.6
4,9.6
-4,9.2
16,10
16,8.8
-29,5.8
4,9.6
7,8.8
1,10
19,9.6
20,8.3
-7,8.8
-5,7.5
10,9.6
-11,7.1
18,10
-1,7.5
2,7.5
-13,3.8
19,10
10,10
21,10
-8,7.5
-10,7.5
10,10
9,10
-7,6.7
-3,9.6
-5,7.9
7,10
4,10
-10,9.6
-1,6.3
-4,7.9
-1,7.9
26,10
-5,9.2
-11,9.6
9,9.6
-2,7.1
5,8.3
6,10
4,8.3
21,9.6
-2,7.5
-2,10
0,9.6
-2,8.3
9,9.2
18,9.6
13,9.6
9,9.6
11,10
-4,9.6
0,10
5,9.6
-16,9.2
18,9.6
8,7.9
16,9.6
-1,9.2
-4,8.3
-6,6.7
-6,7.1
9,9.6
6,10
-4,7.5
-22,7.5
18,9.6
14,10
11,9.2
17,10
-4,5.4
9,9.6
10,8.8
6,7.9
-13,8.8
-1,8.8
4,10
13,8.8
13,10
-20,7.5
-17,9.2
-10,9.2
