Hotel_Name,lat,lng,Category
Hotel Arena,52.3605759,4.9159683,3
K K Hotel George,51.4918878,-0.1949706,1
Apex Temple Court Hotel,51.5137335,-0.1087512,1
The Park Grand London Paddington,51.5142184,-0.1809032,1
Monhotel Lounge SPA,48.8743481,2.2897334,3
Kube Hotel Ice Bar,48.88657,2.3588332,3
The Principal London,51.5226217,-0.1251602,1
Park Plaza County Hall London,51.5014001,-0.1160092,1
One Aldwych,51.5117832,-0.1194172,1
Splendid Etoile,48.874707,2.2936761,3
Hotel Trianon Rive Gauche,48.8487675,2.3410376,3
InterContinental London Park Lane,51.5038632,-0.1504132,1
Novotel Suites Paris Nord 18 me,48.9015941,2.3597783,3
Grand Royale London Hyde Park,51.5109945,-0.1863417,1
Milestone Hotel Kensington,51.5020425,-0.1866541,1
Crowne Plaza London Kings Cross,51.5263854,-0.1136042,1
Select Hotel,48.8483053,2.3425596,3
H tel De Vend me,48.8668564,2.3286339,3
Pullman Paris Centre Bercy,48.8315204,2.3870797,3
Gardette Park Hotel,48.8610265,2.3788974,3
Hotel Panache,48.8732543,2.343239,3
H tel des Ducs D Anjou,48.8598229,2.347111,3
Hotel Scribe Paris Opera by Sofitel,48.8704175,2.3296832,3
Novotel London West,51.4919588,-0.2200956,1
Haymarket Hotel,51.5084595,-0.1311382,1
Intercontinental London The O2,51.5024348,-0.0002497,1
H tel Juliana Paris,48.8619373,2.3040298,3
Hotel L Antoine,48.8524215,2.3743832,3
Belfast,48.8756435,2.2938788,3
Shangri La Hotel Paris,48.8637135,2.2934759,3
Mercure Paris Tour Eiffel Pont Mirabeau,48.8460269,2.2788281,3
Knightsbridge Hotel,51.4980052,-0.1643238,1
The London EDITION,51.5167472,-0.135965,1
The Cranley Hotel,51.4916378,-0.1832833,1
Hotel Le 10 BIS,48.8780363,2.2864907,3
The Nadler Soho,51.5147387,-0.1341108,1
Grange St Paul s Hotel,51.5127625,-0.0997157,1
The Ampersand Hotel,51.4943077,-0.1755579,1
Covent Garden Hotel,51.5145986,-0.1270336,1
The Nadler Victoria,51.4990259,-0.1427453,1
Novotel London Tower Bridge,51.5106538,-0.0773676,1
Crowne Plaza Paris R publique,48.8673199,2.3656296,3
Le Metropolitan a Tribute Portfolio Hotel,48.8656973,2.2829776,3
Atala Champs Elys es,48.8735418,2.302442,3
H tel de Jos phine BONAPARTE,48.8555319,2.3621212,3
Maison Souquet,48.88366,2.3313845,3
Hotel Tour d Auvergne Opera,48.8789432,2.3448623,3
Le Senat,48.8491427,2.3397118,3
Windsor Opera,48.8734851,2.3485111,3
Holiday Inn Paris Montparnasse Pasteur,48.8376887,2.3063102,3
H tel Keppler,48.8699103,2.2973386,3
Les Plumes Hotel,48.8766269,2.3432886,3
Hotel des Tuileries Relais du Silence,48.8661705,2.331561,3
Bradford Elys es Astotel,48.8729676,2.3081178,3
W London Leicester Square,51.510843,-0.1314287,1
The Victoria,51.4611219,-0.2756216,1
Pullman London St Pancras,51.5286766,-0.1283489,1
Crowne Plaza London Kensington,51.495179,-0.183827,1
Doubletree by Hilton London Kensington,51.4925138,-0.1787917,1
Ace Hotel London Shoreditch,51.5254162,-0.0772849,1
Staybridge Suites London Vauxhall,51.4891226,-0.1205639,1
The Grosvenor,51.4956657,-0.1452793,1
The Park Tower Knightsbridge a Luxury Collection Hotel,51.5014191,-0.1625805,1
Amp re,48.8848583,2.2997023,3
Melia Paris Champs Elys es,48.8688962,2.2827459,3
Le Parisis Paris Tour Eiffel,48.8494851,2.2955063,3
Thistle Kensington Gardens,51.5108439,-0.1839074,1
Park Plaza Sherlock Holmes London,51.5209191,-0.1566567,1
Hilton Paris Opera,48.8756604,2.3252075,3
The Kensington Hotel,51.4925478,-0.1780611,1
Holiday Inn London Stratford City,51.5426054,-0.0072708,1
Staybridge Suites London Stratford,51.5426351,-0.0073272,1
Shepherd s Bush Boutique Hotel,51.5054544,-0.2262216,1
My Bloomsbury,51.5188555,-0.1319172,1
Holiday Inn Paris Gare de Lyon Bastille,48.8468064,2.3714789,3
H tel Chaplain Paris Rive Gauche,48.8427564,2.3305636,3
H tel Regina Op ra Grands Boulevards,48.8708508,2.3515882,3
11 Cadogan Gardens,51.4936161,-0.1592347,1
The Wellesley Knightsbridge a Luxury Collection Hotel London,51.502485,-0.1539265,1
Hotel Astor Saint Honor ,48.8728324,2.3193886,3
Op ra Marigny,48.871723,2.3235377,3
H tel Diva Opera,48.8732706,2.3450746,3
Le Marcel,48.8761376,2.3572681,3
H tel Duo,48.8581186,2.3529369,3
H tel Le Marianne,48.8725794,2.3075779,3
The Rembrandt,51.4959227,-0.1702917,1
Hotel Eden,48.8405612,2.2991035,3
H tel de la Bourdonnais,48.8550466,2.304583,3
Ashburn Hotel,51.4945522,-0.1861213,1
Marlin Waterloo,51.4990953,-0.1132136,1
Best Western Premier Marais Grands Boulevards,48.8687425,2.3541761,3
Novotel London Waterloo,51.4948465,-0.1187481,1
The Athenaeum,51.504716,-0.1475618,1
Park International Hotel,51.4945144,-0.1866172,1
Lansbury Heritage Hotel,51.5090985,-0.0157302,1
Le Dokhan s a Tribute Portfolio Hotel,48.8663359,2.2867935,3
Le Relais Madeleine,48.870961,2.3267678,3
Terrass H tel Montmartre by MH,48.8865626,2.3329648,3
Millennium Hotel Paris Opera,48.8724588,2.3378004,3
Waldorf Madeleine,48.8715828,2.3224853,3
Batty Langley s,51.5208575,-0.0779503,1
Best Western Mornington Hotel Hyde Park,51.5119933,-0.1782794,1
Arbor City,51.5166755,-0.0697897,1
Hotel La Lanterne,48.8489839,2.348383,3
H tel Square Louvois,48.8684165,2.336869,3
Hotel Marignan Champs Elys es,48.8685093,2.3067895,3
Le Grey Hotel,48.881407,2.3274204,3
Le Pavillon des Lettres,48.8713699,2.3181191,3
H tel San R gis,48.8665788,2.3084447,3
Garden Elys e,48.8663444,2.2881979,3
Hotel Louvre Montana,48.8644627,2.3318473,3
Ambassadors Bloomsbury,51.5266618,-0.1296571,1
Le 123 S bastopol Astotel,48.8675886,2.3531018,3
Le 123 Elysees Astotel,48.8730823,2.309659,3
The Bryson Hotel,51.5220869,-0.1082443,1
Best Western Mercedes Arc de Triomphe,48.8848292,2.3035189,3
London Marriott Hotel Regents Park,51.5421476,-0.1703073,1
Hilton London Hyde Park,51.51046,-0.1875844,1
Staunton Hotel B B,51.520378,-0.1303414,1
1K Hotel,48.8639318,2.3658744,3
H tel Westminster,48.8693409,2.3310263,3
L H tel,48.8562272,2.3351758,3
Mercure Paris Porte d Orleans,48.8178079,2.3293636,3
Maxim Op ra,48.8738557,2.3444232,3
Le Marceau Bastille,48.8490691,2.3697484,3
Hotel Odeon Saint Germain,48.8513515,2.3375084,3
Mercure London Bloomsbury Hotel,51.5210085,-0.1230966,1
The Chamberlain,51.5122457,-0.0757326,1
Radisson Blu Edwardian Grafton,51.5241386,-0.1380807,1
La Villa Haussmann,48.8753446,2.3167161,3
London Marriott Hotel Marble Arch,51.5163841,-0.1635764,1
Saint Georges Hotel,51.517839,-0.1424476,1
Park Grand London Lancaster Gate,51.5132069,-0.1807816,1
The Henrietta Hotel,51.5109079,-0.1238221,1
Sofitel Paris Arc De Triomphe,48.8751845,2.3013214,3
Hotel Mercure La Sorbonne Saint Germain des Pr s,48.8493499,2.3430569,3
La Tremoille Paris,48.8668589,2.3028215,3
Hotel Op ra Richepanse,48.8686931,2.325211,3
