,lat,lng,Category
1,52.3605759,4.9159683,3
2,51.4918878,-0.1949706,1
3,51.5137335,-0.1087512,1
4,51.5142184,-0.1809032,1
5,48.8743481,2.2897334,3
6,48.88657,2.3588332,3
7,51.5226217,-0.1251602,1
8,51.5014001,-0.1160092,1
9,51.5117832,-0.1194172,1
10,48.874707,2.2936761,3
11,48.8487675,2.3410376,3
12,51.5038632,-0.1504132,1
13,48.9015941,2.3597783,3
14,51.5109945,-0.1863417,1
15,51.5020425,-0.1866541,1
16,51.5263854,-0.1136042,1
17,48.8483053,2.3425596,3
18,48.8668564,2.3286339,3
19,48.8315204,2.3870797,3
20,48.8610265,2.3788974,3
21,48.8732543,2.343239,3
22,48.8598229,2.347111,3
23,48.8704175,2.3296832,3
24,51.4919588,-0.2200956,1
25,51.5084595,-0.1311382,1
26,51.5024348,-0.0002497,1
27,48.8619373,2.3040298,3
28,48.8524215,2.3743832,3
29,48.8756435,2.2938788,3
30,48.8637135,2.2934759,3
31,48.8460269,2.2788281,3
32,51.4980052,-0.1643238,1
33,51.5167472,-0.135965,1
34,51.4916378,-0.1832833,1
35,48.8780363,2.2864907,3
36,51.5147387,-0.1341108,1
37,51.5127625,-0.0997157,1
38,51.4943077,-0.1755579,1
39,51.5145986,-0.1270336,1
40,51.4990259,-0.1427453,1
41,51.5106538,-0.0773676,1
42,48.8673199,2.3656296,3
43,48.8656973,2.2829776,3
44,48.8735418,2.302442,3
45,48.8555319,2.3621212,3
46,48.88366,2.3313845,3
47,48.8789432,2.3448623,3
48,48.8491427,2.3397118,3
49,48.8734851,2.3485111,3
50,48.8376887,2.3063102,3
51,48.8699103,2.2973386,3
52,48.8766269,2.3432886,3
53,48.8661705,2.331561,3
54,48.8729676,2.3081178,3
55,51.510843,-0.1314287,1
56,51.4611219,-0.2756216,1
57,51.5286766,-0.1283489,1
58,51.495179,-0.183827,1
59,51.4925138,-0.1787917,1
60,51.5254162,-0.0772849,1
61,51.4891226,-0.1205639,1
62,51.4956657,-0.1452793,1
63,51.5014191,-0.1625805,1
64,48.8848583,2.2997023,3
65,48.8688962,2.2827459,3
66,48.8494851,2.2955063,3
67,51.5108439,-0.1839074,1
68,51.5209191,-0.1566567,1
69,48.8756604,2.3252075,3
70,51.4925478,-0.1780611,1
71,51.5426054,-0.0072708,1
72,51.5426351,-0.0073272,1
73,51.5054544,-0.2262216,1
74,51.5188555,-0.1319172,1
75,48.8468064,2.3714789,3
76,48.8427564,2.3305636,3
77,48.8708508,2.3515882,3
78,51.4936161,-0.1592347,1
79,51.502485,-0.1539265,1
80,48.8728324,2.3193886,3
81,48.871723,2.3235377,3
82,48.8732706,2.3450746,3
83,48.8761376,2.3572681,3
84,48.8581186,2.3529369,3
85,48.8725794,2.3075779,3
86,51.4959227,-0.1702917,1
87,48.8405612,2.2991035,3
88,48.8550466,2.304583,3
89,51.4945522,-0.1861213,1
90,51.4990953,-0.1132136,1
91,48.8687425,2.3541761,3
92,51.4948465,-0.1187481,1
93,51.504716,-0.1475618,1
94,51.4945144,-0.1866172,1
95,51.5090985,-0.0157302,1
96,48.8663359,2.2867935,3
97,48.870961,2.3267678,3
98,48.8865626,2.3329648,3
99,48.8724588,2.3378004,3
100,48.8715828,2.3224853,3
101,51.5208575,-0.0779503,1
102,51.5119933,-0.1782794,1
103,51.5166755,-0.0697897,1
104,48.8489839,2.348383,3
105,48.8684165,2.336869,3
106,48.8685093,2.3067895,3
107,48.881407,2.3274204,3
108,48.8713699,2.3181191,3
109,48.8665788,2.3084447,3
110,48.8663444,2.2881979,3
111,48.8644627,2.3318473,3
112,51.5266618,-0.1296571,1
113,48.8675886,2.3531018,3
114,48.8730823,2.309659,3
115,51.5220869,-0.1082443,1
116,48.8848292,2.3035189,3
117,51.5421476,-0.1703073,1
118,51.51046,-0.1875844,1
119,51.520378,-0.1303414,1
120,48.8639318,2.3658744,3
121,48.8693409,2.3310263,3
122,48.8562272,2.3351758,3
123,48.8178079,2.3293636,3
124,48.8738557,2.3444232,3
125,48.8490691,2.3697484,3
126,48.8513515,2.3375084,3
127,51.5210085,-0.1230966,1
128,51.5122457,-0.0757326,1
129,51.5241386,-0.1380807,1
130,48.8753446,2.3167161,3
131,51.5163841,-0.1635764,1
132,51.517839,-0.1424476,1
133,51.5132069,-0.1807816,1
134,51.5109079,-0.1238221,1
135,48.8751845,2.3013214,3
136,48.8493499,2.3430569,3
137,48.8668589,2.3028215,3
138,48.8686931,2.325211,3
139,48.8560685,2.3236846,3
140,48.8438352,2.3280708,3
141,51.4938733,-0.1824963,1
142,51.5131428,-0.1576714,1
143,48.861711,2.340674,3
144,51.5128032,-0.07586,1
145,51.4903724,-0.1459218,1
146,48.875551,2.2835191,3
147,48.8531641,2.3344097,3
148,51.5161139,-0.1749521,1
149,51.515632,-0.175737,1
150,51.4944849,-0.1884174,1
151,51.5012329,-0.1859937,1
152,51.5184158,-0.1348509,1
153,51.4975621,-0.145551,1
154,48.8196885,2.3263505,3
155,51.4943935,-0.1750169,1
156,51.520181,-0.1256957,1
157,48.8679466,2.3289593,3
158,48.8532269,2.3457159,3
159,48.868414,2.3213247,3
160,48.8690596,2.2971078,3
161,48.8797331,2.3206003,3
162,48.8420669,2.3304091,3
163,48.8652582,2.3329632,3
164,48.8516619,2.2979395,3
165,48.8328764,2.3572531,3
166,48.8550236,2.3350786,3
167,51.5147071,-0.1578291,1
168,51.5100362,-0.190657,1
169,51.5069446,-0.1415776,1
170,51.5278465,-0.0889473,1
171,48.8453774,2.3256427,3
172,51.5561548,-0.2141824,1
173,48.853688,2.3322667,3
174,51.4934752,-0.2153256,1
175,48.843707,2.3155631,3
176,51.5171671,-0.1290534,1
177,48.8654874,2.3348924,3
178,48.8542681,2.3078116,3
179,48.8728351,2.3362507,3
180,51.5150534,-0.1739974,1
181,48.8795369,2.3202966,3
182,48.8726335,2.3048084,3
183,48.8705741,2.3264194,3
184,51.4930905,-0.1755022,1
185,51.4946905,-0.1910197,1
186,48.8793427,2.3577745,3
187,51.5019097,-0.0232208,1
188,48.8870573,2.3143297,3
189,48.8864673,2.2948911,3
190,48.8871283,2.314205,3
191,51.5265189,-0.1303689,1
192,51.4968406,-0.1675498,1
193,51.4999683,-0.1599927,1
194,48.8713239,2.2937849,3
195,48.8585193,2.3077243,3
196,48.8315962,2.3399796,3
197,51.5215257,-0.1533039,1
198,48.871309,2.3277079,3
199,48.8720593,2.3236802,3
200,48.8644382,2.3359148,3
201,48.838484,2.3150904,3
202,48.8908018,2.3380204,3
203,48.8535089,2.3425787,3
204,51.5015721,-0.1628511,1
205,51.4778583,-0.0137463,1
206,51.5241452,-0.1609907,1
207,48.8746128,2.3056956,3
208,48.8750848,2.3048372,3
209,51.520943,-0.1004581,1
210,51.4954976,-0.1893691,1
211,51.4913737,-0.1214194,1
212,48.8555664,2.2926243,3
213,51.529257,-0.168358,1
214,48.8663208,2.3450399,3
215,48.8678432,2.3033075,3
216,48.8691686,2.3337818,3
217,48.8803752,2.319591,3
218,48.8709627,2.3154141,3
219,51.4948059,-0.1926525,1
220,51.5032524,-0.078179,1
221,48.8237487,2.324056,3
222,51.5143624,-0.1394483,1
223,51.4907493,-0.1934627,1
224,51.5144381,-0.1558337,1
225,48.8710605,2.2933537,3
226,48.8605125,2.3106533,3
227,51.583236,-0.216868,1
228,51.5122429,-0.1045036,1
229,48.845743,2.34493,3
230,48.8690198,2.2891278,3
231,48.8478399,2.342254,3
232,48.8713421,2.3280723,3
233,48.8592264,2.340996,3
234,48.8382943,2.3210421,3
235,48.8603483,2.3440535,3
236,48.8722588,2.3257608,3
237,48.8717649,2.2983855,3
238,51.5001979,-0.1795357,1
239,51.5172398,-0.1220324,1
240,51.4950098,-0.1906195,1
241,51.5027022,-0.1882164,1
242,51.5244224,-0.0764614,1
243,48.8721062,2.3451384,3
244,51.5203469,-0.1260893,1
245,51.5056956,-0.101525,1
246,51.511521,-0.290706,1
247,48.8448902,2.252833,3
248,48.8475112,2.3022198,3
249,51.49398,-0.143372,1
250,51.498905,-0.1339093,1
251,51.5191009,-0.1592,1
252,48.8637503,2.3320406,3
253,48.8442949,2.3730938,3
254,48.8349272,2.3295913,3
255,48.8722884,2.3090359,3
256,48.8690126,2.3368708,3
257,48.8814056,2.3282568,3
258,48.857898,2.3571978,3
259,48.8327729,2.2787597,3
260,48.8821595,2.3367444,3
261,48.8704371,2.329236,3
262,48.8732231,2.3436097,3
263,48.8453785,2.3753036,3
264,48.8503901,2.3422527,3
265,48.8516148,2.3381293,3
266,48.8708391,2.3303651,3
267,51.507374,-0.129135,1
268,51.5059334,-0.1489418,1
269,51.5458476,-0.0554113,1
270,51.5141842,-0.3192925,1
271,51.5150522,-0.159239,1
272,51.5243286,-0.1846623,1
273,51.5054185,-0.1241499,1
274,51.521759,-0.1425381,1
275,48.8397623,2.3235324,3
276,51.4973203,-0.1562558,1
277,51.5051507,-0.1004724,1
278,51.5139275,-0.1271506,1
279,51.4915712,-0.1963192,1
280,51.5101401,-0.1968951,1
281,48.8389823,2.3455528,3
282,48.8473459,2.2832408,3
284,48.8503074,2.3450612,3
285,48.8548641,2.2923181,3
286,48.8735736,2.335965,3
287,51.5084036,-0.1067988,1
288,51.5116049,-0.1383145,1
289,51.4948507,-0.1945544,1
290,48.8642689,2.3308179,3
291,48.8412131,2.3302954,3
292,48.8393229,2.3892274,3
293,48.8747153,2.2906388,3
294,51.4944875,-0.2070605,1
295,48.8823398,2.3364764,3
296,51.5205441,-0.1308091,1
297,51.5094835,-0.1362538,1
298,48.8794843,2.3556545,3
299,48.8493082,2.2743626,3
300,48.8737702,2.3201063,3
301,48.8655293,2.3360102,3
302,48.8363819,2.2897793,3
303,51.5079153,-0.2730145,1
304,48.8756508,2.3041568,3
305,48.8452789,2.342295,3
306,48.8886969,2.3945403,3
307,48.8757155,2.3038781,3
308,48.8649306,2.3290844,3
309,48.8519215,2.3839993,3
310,51.5218066,-0.0856081,1
311,51.4993927,-0.1329128,1
312,48.8823111,2.3132374,3
313,48.8554268,2.4152555,3
314,51.5072713,-0.0211213,1
315,51.5055513,-0.1501698,1
316,51.5161911,-0.1579487,1
317,48.8692566,2.3339369,3
318,48.8681455,2.3313064,3
319,48.8538752,2.3366123,3
320,48.8518584,2.3447798,3
321,48.8721692,2.3262681,3
322,51.512257,-0.2034244,1
323,48.8658792,2.3298903,3
324,51.519016,-0.166267,1
325,51.5195688,-0.170521,1
326,51.4992791,-0.1973593,1
327,51.5199224,-0.2116636,1
328,48.8653685,2.328218,3
329,48.8606187,2.344401,3
330,51.5124655,-0.182274,1
331,51.525535,-0.1180354,1
333,48.8731996,2.3425446,3
334,48.8717146,2.3261812,3
335,51.5215508,-0.0469238,1
336,48.8396623,2.3300582,3
337,41.3882234,2.1644551,2
338,51.4942539,-0.1414756,1
339,51.5203266,-0.1245891,1
340,51.4960283,-0.1686355,1
341,51.5139298,-0.101126,1
342,48.8689307,2.2974503,3
343,48.8754371,2.3434586,3
344,48.8768854,2.3270623,3
345,48.8730437,2.3161144,3
346,48.87096,2.3091617,3
347,48.8309896,2.3297301,3
348,48.8661932,2.3042141,3
349,48.830196,2.3529539,3
350,51.4931086,-0.190208,1
351,48.8565778,2.3319767,3
352,48.8827492,2.2982782,3
353,48.871859,2.2978177,3
354,48.8671889,2.326927,3
355,51.5173303,-0.1180966,1
356,48.8399018,2.3031011,3
357,51.4916677,-0.1947475,1
358,51.5134603,-0.1833081,1
359,51.5117907,-0.306071,1
360,51.4930097,-0.159715,1
361,51.5043483,-0.0334436,1
362,51.4928147,-0.1841753,1
363,48.8782679,2.294852,3
364,51.5135555,-0.180002,1
365,41.3961448,2.1631674,2
366,51.514839,-0.1586656,1
367,48.8969854,2.3852745,3
368,51.4998574,-0.161717,1
369,51.4957436,-0.1477528,1
370,48.8562725,2.3660412,3
371,48.8775326,2.293458,3
372,48.8661991,2.3328826,3
373,51.4988817,-0.1062888,1
374,51.4917798,-0.1616049,1
375,51.5207945,-0.1310845,1
376,48.8615843,2.3620652,3
377,48.8485387,2.3479852,3
378,48.853865,2.3072019,3
379,48.8718321,2.3278866,3
380,48.8553486,2.3340736,3
381,48.880856,2.3375085,3
382,51.4801631,-0.0097201,1
383,52.3743712,4.8746196,3
384,48.8654726,2.3292934,3
385,48.8753837,2.2944651,3
386,51.507746,-0.1422993,1
387,48.8503493,2.3344305,3
388,48.8713619,2.3426375,3
389,48.8528364,2.3440803,3
390,51.5138357,-0.1797976,1
391,51.519032,-0.1825943,1
392,48.8802782,2.2843852,3
393,48.8430523,2.3422519,3
394,48.866435,2.3251076,3
395,48.8852794,2.3301021,3
396,48.8542454,2.339956,3
397,48.878932,2.3394182,3
398,48.851589,2.2777274,3
399,48.8601927,2.318423,3
400,48.8657394,2.3274415,3
401,48.8567042,2.3277805,3
402,48.8700325,2.3112736,3
403,48.8565421,2.3303504,3
404,48.884165,2.3328261,3
405,48.8756618,2.2863468,3
406,48.8661363,2.3260648,3
407,48.8869128,2.3004034,3
408,51.5189182,-0.0866009,1
409,51.5142054,-0.1766098,1
410,48.8715469,2.3439622,3
411,51.4922348,-0.1914229,1
412,51.5404555,-0.1460833,1
413,51.4932356,-0.1269082,1
414,51.5129736,-0.1837431,1
415,51.5156471,-0.1572443,1
416,51.5186801,-0.1354055,1
417,48.8691984,2.2979052,3
418,48.8752553,2.286653,3
419,48.8715079,2.3122259,3
420,48.8703672,2.2938868,3
421,48.8335233,2.3191194,3
422,51.5289499,-0.1232979,1
423,51.4981225,-0.1799693,1
424,51.5189077,-0.1421957,1
425,51.509963,-0.129797,1
426,48.8687512,2.3001692,3
427,51.5151247,-0.1600656,1
428,48.8629329,2.3723823,3
429,48.8712877,2.3191903,3
430,51.5044972,-0.0855562,1
431,48.849147,2.3471935,3
432,48.855263,2.3305901,3
433,48.8645647,2.2821827,3
434,51.4938468,-0.1917582,1
435,51.5090558,-0.1421661,1
436,48.8740463,2.300196,3
437,48.8430891,2.4049867,3
438,48.869143,2.3006526,3
439,51.4978466,-0.164156,1
440,48.8450894,2.3209503,3
441,48.8710402,2.3248014,3
442,51.4892447,-0.1803196,1
443,48.8682978,2.3268027,3
444,48.8547329,2.3395277,3
445,48.8694755,2.3046954,3
446,48.8354314,2.321142,3
447,51.5373904,-0.0023367,1
448,51.5273442,-0.0796152,1
449,51.511879,-0.118552,1
450,51.5197933,-0.1241844,1
451,51.4920287,-0.1917801,1
452,48.8920485,2.3023791,3
453,51.4703604,-0.1779869,1
454,51.5162883,-0.1721078,1
455,48.8535639,2.3360169,3
456,48.8814425,2.3235592,3
457,48.8825781,2.3334805,3
458,48.8716831,2.3123759,3
459,48.8502052,2.289043,3
460,51.521148,-0.171346,1
461,51.490724,-0.143868,1
462,48.8593152,2.3104179,3
463,51.5076899,-0.1471358,1
464,51.4919083,-0.1684398,1
465,48.8613055,2.2862823,3
466,48.872174,2.328075,3
467,48.8737043,2.3061477,3
468,48.8651994,2.3045076,3
469,48.8794682,2.3334957,3
470,51.5055381,-0.1396885,1
471,51.5146025,-0.1481978,1
472,51.4815995,-0.1481053,1
473,51.5126488,-0.1803795,1
474,48.8268251,2.2912033,3
475,51.5149583,-0.0823869,1
476,48.879314,2.3560185,3
477,48.8632723,2.352691,3
478,48.8811741,2.2948337,3
479,48.8777895,2.2872498,3
480,48.8708863,2.3382128,3
481,51.5743549,-0.0977567,1
482,48.8547161,2.306642,3
483,48.8756359,2.3004967,3
484,51.4911924,-0.1449474,1
485,51.522143,-0.153385,1
486,48.8684243,2.3036244,3
487,51.5110993,-0.1208673,1
488,48.8719889,2.3492913,3
489,48.8691758,2.3205807,3
490,51.4967399,-0.2064723,1
491,51.5196124,-0.1239628,1
492,51.5139692,-0.1828202,1
493,51.5226361,-0.1602871,1
494,48.8683133,2.3330851,3
495,48.8772093,2.2968266,3
496,51.4981471,-0.1436492,1
497,51.5101462,-0.1315061,1
498,51.4935083,-0.1834346,1
499,48.827388,2.305478,3
500,48.8553117,2.3254628,3
501,51.5139315,-0.1219893,1
502,51.514573,-0.15666,1
503,51.5210117,-0.2628618,1
504,51.5139805,-0.1337948,1
505,48.8759461,2.3270955,3
506,48.8742767,2.3426276,3
507,48.8648656,2.3295756,3
508,48.8694695,2.3208564,3
509,48.8723844,2.3088663,3
510,48.8528427,2.3422256,3
511,48.8749511,2.3259532,3
513,48.8630829,2.3378592,3
514,48.8730552,2.3540112,3
515,48.8654532,2.3295231,3
516,48.8745879,2.3188143,3
517,48.8675674,2.3539896,3
518,48.8743885,2.2980915,3
519,51.5172825,-0.0812451,1
520,51.5011704,-0.0232607,1
521,48.8585626,2.3299138,3
522,48.8381079,2.318669,3
523,48.8346811,2.3255098,3
524,48.8687804,2.3610196,3
525,51.510237,-0.0764428,1
526,51.4937409,-0.244896,1
527,51.5125035,-0.1477438,1
528,51.5126758,-0.1867828,1
529,51.4986732,-0.1376867,1
530,48.8686434,2.2984054,3
531,48.8683593,2.3002117,3
532,48.8491801,2.3423357,3
533,51.4981471,-0.1436492,1
534,51.515755,-0.1603335,1
535,51.4958184,-0.1813958,1
536,48.8799239,2.3288332,3
537,48.8488044,2.3469889,3
538,48.8800565,2.3342353,3
539,51.531979,-0.061598,1
540,51.5206309,-0.0915341,1
541,48.8644967,2.3405415,3
542,48.8740668,2.3502172,3
543,51.5553678,-0.2864945,1
544,48.8471891,2.3260138,3
545,48.8732068,2.3239015,3
546,48.8496819,2.3402806,3
547,51.4202661,-0.211268,1
548,51.510574,-0.1509951,1
549,48.8570275,2.3170282,3
550,48.8488608,2.3315257,3
551,51.5237209,-0.0806178,1
552,51.5063709,-0.1515359,1
553,51.5115509,-0.0714919,1
554,48.8777621,2.293177,3
555,51.5104696,-0.1265824,1
556,48.8710709,2.3013119,3
557,51.5050165,-0.1049831,1
558,48.8760884,2.3456465,3
559,51.5066991,-0.0280208,1
560,51.5180207,-0.1500567,1
561,48.8607764,2.3427564,3
562,51.5231564,-0.1035134,1
563,51.5161286,-0.0624458,1
564,48.8691399,2.2981024,3
565,51.5182768,-0.1583511,1
566,48.8753359,2.3414617,3
567,48.8691325,2.3021659,3
568,51.5127453,-0.1926437,1
569,48.8565629,2.3273623,3
570,48.8662695,2.3668616,3
571,48.8816306,2.2992146,3
572,48.8583127,2.2795075,3
573,51.5154006,-0.0572364,1
574,51.5060237,-0.151078,1
575,51.5065578,-0.004514,1
576,51.504575,-0.082675,1
577,51.5611271,-0.2787261,1
578,48.8497618,2.3392336,3
579,48.8801757,2.2859534,3
580,48.8722019,2.3030866,3
581,48.8688155,2.3305236,3
582,48.8636049,2.3688352,3
583,48.8729639,2.3444899,3
584,48.8701247,2.311141,3
585,48.8589516,2.3670407,3
586,48.8684776,2.3298238,3
587,48.8758981,2.3590504,3
588,48.8547869,2.3084819,3
589,48.870808,2.3372737,3
590,48.8645309,2.3315532,3
591,51.5140208,-0.0854919,1
592,51.5174853,-0.1372109,1
593,51.5159214,-0.1598794,1
594,51.5124496,-0.1795215,1
595,48.866242,2.3373169,3
596,48.8481917,2.3490316,3
597,48.8769204,2.3069132,3
598,51.5131074,-0.1778707,1
599,48.8659899,2.3674149,3
